!Series_title,Cell division drives DNA methylation loss in late-replicating domains in primary human cells [RNA-seq],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_geo_accession,GSE197471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_status,Public on Jul 25 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_submission_date,Feb 25 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_last_update_date,Jul 25 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_summary,"We present the first experimental evidence that loss of DNA methylation at late-replicating regions, widely documented in aging and cancer, is directly driven by cell division. DNA hypomethylation, particularly at low-density CpGs in A:T-rich, partially methylated domains (PMD solo-WCGWs), tracks cumulative population doublings in primary cell culture. Cell cycle deceleration or full arrest resulted in a proportional decrease in the rate of DNA methylation loss. Lower culture oxygen conditions resulted in a slowed rate of methylation loss, suggesting that these CpGs may also be vulnerable to methylation loss during unscheduled, repair-associated methylation maintenance as well as scheduled, replication-associated methylation maintenance. By studying this methylation context in immortalized primary cells, we identified genomic and epigenomic features that are resistant or more susceptible to methylation loss. Finally, we leveraged this extensive DNA methylation dataset to develop a refined metric for the relative cumulative mitotic histories of human cells. These RNA-sequencing data accompany the larger DNA methylation dataset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_overall_design,RNA-sequencing was performed on total RNA extracted from serially-passaged human primary cells.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_type,Expression profiling by high throughput sequencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contributor,"Jamie,L,Endicott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contributor,"Peter,W,Laird",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contributor,"Hui,,Shen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contributor,"Paula,A,Nolte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_sample_id,GSM5918088 GSM5918089 GSM5918090 GSM5918091 GSM5918092 GSM5918093 GSM5918094 GSM5918095 GSM5918096 GSM5918097 GSM5918098 GSM5918099 GSM5918100 GSM5918101 GSM5918102 GSM5918103 GSM5918104 GSM5918105 GSM5918106 GSM5918107 GSM5918108 GSM5918109 GSM5918110 GSM5918111 GSM5918112 GSM5918113 GSM5918114 GSM5918115 GSM5918116 GSM5918117 GSM5918118 GSM5918119 GSM5918120 GSM5918121 GSM5918122 GSM5918123 GSM5918124 GSM5918125 GSM5918126 GSM5918127 GSM5918128 GSM5918129 GSM5918130 GSM5918131 GSM5918132 GSM5918133 GSM5918134 GSM5918135 GSM5918136 GSM5918137 GSM5918138 GSM5918139 GSM5918140 GSM5918141 GSM5918142 GSM5918143 GSM5918144 GSM5918145 GSM5918146 GSM5918147 GSM5918148 GSM5918149 GSM5918150 GSM5918151 GSM5918152 GSM5918153 GSM5918154 GSM5918155 GSM5918156 GSM5918157 GSM5918158 GSM5918159 GSM5918160 GSM5918161 GSM5918162 GSM5918163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_name,"Peter,W,Laird",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_email,Peter.Laird@vai.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_laboratory,Peter W Laird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_department,Epigenetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_institute,Van Andel Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_address,333 Bostwick Ave NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_city,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_state,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_zip/postal_code,49503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_country,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197471/suppl/GSE197471_norm_cts_GEO.tsv.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197471/suppl/GSE197471_raw_cts_GEO.tsv.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_platform_id,GPL24676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_platform_taxid,9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_sample_taxid,9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_relation,SubSeries of: GSE197545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_relation,BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA810446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Sample_title,FSF1_1,FSF1_2,FSF1_3,FSF1_4,FSF1_5,FSF1_6,FSF1_7,FSF1_8,AVEC1_1,AVEC1_2,AVEC1_3,AVEC1_4,AVEC1_5,AVEC1_6,AVEC1_7,AVEC1_8,AVSMC1_1,AVSMC1_2,AVSMC1_3,AVSMC1_4,AVSMC1_5,AVSMC1_6,AVSMC1_7,AVSMC1_8,ASF1_1,ASF1_2,ASF1_3,ASF1_4,ASF1_5,ASF1_6,ASF1_7,ASF1_8,NFF1_1,NFF1_2,NFF1_3,NFF1_4,NFF1_5,NFF1_6,NFF1_7,NFF1_8,NFF2_1,NFF2_2,NFF2_3,NFF2_4,NFF2_5,NFF2_6,NFF2_7,NFF2_8,NFF2_AMBO2_1,NFF2_AMBO2_2,NFF2_AMBO2_3,NFF2_AMBO2_4,NFF2_AMBO2_5,NFF2_AMBO2_6,NFF2_AMBO2_7,NFF2_AMBO2_8,NFF2_LOWO2_1,NFF2_LOWO2_2,NFF2_LOWO2_3,NFF2_LOWO2_4,NFF2_LOWO2_5,NFF2_LOWO2_6,NFF2_LOWO2_7,NFF2_LOWO2_8,FSF1_TERT_1,FSF1_TERT_2,FSF1_TERT_3,FSF1_TERT_4,FSF1_TERT_5,FSF1_TERT_6,FSF1_TERT_7,FSF1_TERT_8,FSF1_TERT_9,FSF1_TERT_10,FSF1_TERT_11,FSF1_TERT_12
!Sample_geo_accession,GSM5918088,GSM5918089,GSM5918090,GSM5918091,GSM5918092,GSM5918093,GSM5918094,GSM5918095,GSM5918096,GSM5918097,GSM5918098,GSM5918099,GSM5918100,GSM5918101,GSM5918102,GSM5918103,GSM5918104,GSM5918105,GSM5918106,GSM5918107,GSM5918108,GSM5918109,GSM5918110,GSM5918111,GSM5918112,GSM5918113,GSM5918114,GSM5918115,GSM5918116,GSM5918117,GSM5918118,GSM5918119,GSM5918120,GSM5918121,GSM5918122,GSM5918123,GSM5918124,GSM5918125,GSM5918126,GSM5918127,GSM5918128,GSM5918129,GSM5918130,GSM5918131,GSM5918132,GSM5918133,GSM5918134,GSM5918135,GSM5918136,GSM5918137,GSM5918138,GSM5918139,GSM5918140,GSM5918141,GSM5918142,GSM5918143,GSM5918144,GSM5918145,GSM5918146,GSM5918147,GSM5918148,GSM5918149,GSM5918150,GSM5918151,GSM5918152,GSM5918153,GSM5918154,GSM5918155,GSM5918156,GSM5918157,GSM5918158,GSM5918159,GSM5918160,GSM5918161,GSM5918162,GSM5918163
!Sample_status,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022,Public on Jul 25 2022
!Sample_submission_date,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022,Feb 25 2022
!Sample_last_update_date,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022,Jul 25 2022
!Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
!Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
!Sample_source_name_ch1,"Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum",Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,Iliac vein,"Skin, arm","Skin, arm","Skin, arm","Skin, arm","Skin, arm","Skin, arm","Skin, arm","Skin, arm",Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,Foreskin,"Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum","Skin, sacrum"
!Sample_organism_ch1,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens
!Sample_characteristics_ch1,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Baseline profiling,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: Reduced oxygen,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization,subexperiment: TERT immortalization
!Sample_characteristics_ch1,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11182,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG11546,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG16146,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21839,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG21859,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561,coriell_id: AG06561
